country_name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,2.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Japan,1.325,1.33,1.328,1.333,1.326,1.309,1.33,1.315,1.374,1.377,1.381,1.37,1.36
India,2.477,2.548,2.684,2.711,2.549,2.582,2.569,2.564,2.569,2.549,2.522,2.633,2.628
France,1.853,1.827,1.828,1.796,1.71,1.859,1.807,1.777,1.819,1.897,1.921,1.916,1.93
China,2.175,2.12,2.237,2.259,2.061,2.157,2.162,2.183,2.169,2.178,2.167,2.147,2.166
Portugal,1.387,1.411,1.445,1.466,1.47,1.506,1.447,1.399,1.305,1.249,1.292,1.247,1.247
Ecuador,2.244,2.28,2.279,2.219,2.028,2.119,2.089,2.04,2.015,1.952,1.962,1.973,2.085
Australia,1.367,1.356,1.358,1.408,1.494,1.42,1.36,1.344,1.377,1.364,1.375,1.396,1.386
Philippines,2.355,2.42,2.46,2.462,2.415,2.468,2.51,2.505,2.498,2.514,2.521,2.517,2.471
Spain,1.721,1.751,1.762,1.719,1.548,1.65,1.613,1.537,1.563,1.537,1.664,1.734,1.712
United Kingdom,1.812,1.786,1.806,1.815,1.609,1.833,1.833,1.815,1.775,1.758,1.797,1.759,1.77
Greece,1.913,1.903,1.974,1.996,1.976,2.051,2.089,1.939,2.018,2.004,2.016,1.93,1.877
Denmark,1.272,1.234,1.299,1.255,1.239,1.174,1.16,1.16,1.178,1.268,1.278,1.284,1.283
Canada,1.374,1.391,1.474,1.433,1.317,1.315,1.298,1.311,1.311,1.309,1.315,1.307,1.298
Argentina,1.859,1.962,2,2.007,1.763,2.117,2.019,2.082,2.096,2.012,1.955,1.989,1.978
Chile,1.695,1.718,1.755,1.783,1.616,1.669,1.649,1.633,1.623,1.603,1.646,1.641,1.804
Jamaica,2.041,2.039,2.059,2.174,2.222,2.193,2.156,2.115,2.094,2.072,2.079,2.028,2.041
Oman,1.672,1.701,1.65,1.828,1.887,1.93,1.97,2.038,1.995,1.922,1.974,1.953,1.941
Norway,1.365,1.361,1.38,1.455,1.48,1.511,1.537,1.46,1.461,1.473,1.484,1.499,1.496
Bahrain,1.924,1.932,1.871,2.287,2.247,2.264,2.347,2.224,2.34,2.387,2.366,2.32,2.209
Indonesia,1.859,1.834,1.809,1.811,1.913,1.785,1.82,1.805,1.798,1.809,1.786,1.77,1.831
Mauritius,1.61,1.614,1.608,1.613,1.487,1.516,1.511,1.526,1.557,1.528,1.53,1.562,1.544
Sweden,1.389,1.371,1.379,1.393,1.419,1.38,1.356,1.36,1.393,1.458,1.477,1.506,1.479
Russia,2.876,3.058,3.104,3.005,2.938,2.985,3.107,3.148,3.098,3.054,3.064,3.089,3.049
Trinidad and Tobago,2.121,2.034,2.085,2.055,2.082,2.097,2.103,2.111,2.073,2.089,2.053,2.094,2.078
Brazil,1.993,2.067,2.088,2.071,2.017,2.111,2.143,2.204,2.182,2.239,2.223,2.361,2.413
Italy,1.676,1.73,1.753,1.787,1.69,1.787,1.734,1.738,1.734,1.713,1.741,1.724,1.69
Papua New Guinea,2.12,2.108,2.089,2.133,2.076,2.087,2.091,2.114,2.114,2.065,2.1,2.107,2.157
Singapore,1.58,1.518,1.486,1.457,1.521,1.444,1.4,1.368,1.378,1.388,1.374,1.344,1.321
Cyprus,2.005,1.771,1.955,1.943,1.957,1.926,1.988,1.962,1.959,1.94,1.907,1.914,1.92
Armenia,2.344,2.335,2.341,2.304,2.238,2.305,2.251,2.255,2.198,2.267,2.322,2.257,2.135
Azerbaijan,2.336,2.41,2.416,2.421,2.36,2.496,2.453,2.469,2.487,2.51,2.51,2.489,2.3
Tajikistan,2.25,2.27,2.226,2.258,2.124,2.335,2.347,2.216,2.239,2.191,2.206,2.188,2.188
Uzbekistan,2.267,2.226,2.267,2.341,2.219,2.321,2.235,2.236,2.181,2.117,2.144,2.166,2.158
Lesotho,1.922,1.922,1.918,1.949,1.864,1.884,1.865,1.915,1.955,2.065,2.144,2.167,2.131
Bangladesh,2.101,2.145,2.217,2.217,2.071,2.168,2.091,2.088,2.103,2.054,2.126,2.17,2.121
North Korea,NaN,NaN,NaN,NaN,2.932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kyrgyzstan,2.362,2.352,2.331,2.332,2.359,2.482,2.36,2.278,2.238,2.203,2.162,2.104,2.094
Mexico,2.153,2.368,2.361,2.423,2.445,2.512,2.501,2.441,2.444,2.541,2.545,2.514,2.572
